text,emotion_names,emotions_emojis,true_explanations
jazbaat mein aana tab mehsoos hui jab emotional gana suna. udaasi ka sabab yeh tha ke yaadein satane lagi.,"['jazbaat mein aana', 'udaasi']","jazbaat mein aana 🥺, udaasi 😞","{'jazbaat mein aana': 'kyunke emotional gana suna', 'udaasi': 'kyunke yaadein satane lagi'}"
umeed ka sabab yeh tha ke naye moka mila. gussa tab mehsoos hui jab koi baar baar tang kar raha tha.,"['umeed', 'gussa']","umeed 🌈, gussa 😠","{'umeed': 'kyunke naye moka mila', 'gussa': 'kyunke koi baar baar tang kar raha tha'}"
"Jab se dost ne achanak gift diya, mein hairani mehsoos kar raha hoon. Aaj mein hardwork ka phal milne wala hai, is liye mein umeed mehsoos kar raha hoon.","['hairani', 'umeed']","hairani 😮, umeed 🌈","{'hairani': 'kyunke dost ne achanak gift diya', 'umeed': 'kyunke hardwork ka phal milne wala hai'}"
raat bhar neend nahi aayi ke baad mera dil bechaini se bhar gaya. Pehli baar unexpected result aaya aur uss lamhe mein mujhe hairani mehsoos hui.,"['bechaini', 'hairani']","bechaini 😟, hairani 😮","{'bechaini': 'kyunke raat bhar neend nahi aayi', 'hairani': 'kyunke unexpected result aaya'}"
"Aaj mein woh har baat samajh leti hai, is liye mein mohabbat mehsoos kar raha hoon.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh har baat samajh leti hai'}
"Jab se kisi ne dil ki baat boli, mein jazbaat mein aana mehsoos kar raha hoon.",['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke kisi ne dil ki baat boli'}
"Aaj mein naye logon se milna tha, is liye mein ghabrahat mehsoos kar raha hoon.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke naye logon se milna tha'}
gussa ka sabab yeh tha ke kisi ne unfair treat kiya.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne unfair treat kiya'}
"Jab se woh muskurayi, mein mohabbat mehsoos kar raha hoon. Kal film emotional thi tha, aur mujhe jazbaat mein aana ka ehsaas hua.","['mohabbat', 'jazbaat mein aana']","mohabbat ❤️, jazbaat mein aana 🥺","{'mohabbat': 'kyunke woh muskurayi', 'jazbaat mein aana': 'kyunke film emotional thi'}"
"Aaj mein film emotional thi, is liye mein jazbaat mein aana mehsoos kar raha hoon. umeed ka sabab yeh tha ke mehnat ki hai.","['jazbaat mein aana', 'umeed']","jazbaat mein aana 🥺, umeed 🌈","{'jazbaat mein aana': 'kyunke film emotional thi', 'umeed': 'kyunke mehnat ki hai'}"
"Kal kisi ne dil se baat ki tha, aur mujhe jazbaat mein aana ka ehsaas hua. Jab se unexpected call aaya, mein ghabrahat mehsoos kar raha hoon.","['jazbaat mein aana', 'ghabrahat']","jazbaat mein aana 🥺, ghabrahat 😰","{'jazbaat mein aana': 'kyunke kisi ne dil se baat ki', 'ghabrahat': 'kyunke unexpected call aaya'}"
"Mein news bohat different thi ke baare mein soch raha tha, is liye hairani mehsoos hui.",['hairani'],hairani 😮,{'hairani': 'kyunke news bohat different thi'}
ghabrahat ka sabab yeh tha ke paper mushkil tha.,['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke paper mushkil tha'}
"Aaj mein koi baar baar tang kar raha tha, is liye mein gussa mehsoos kar raha hoon. Waqt guzarta gaya aur interview cancel hogaya ki wajah se bechaini badhti gayi.","['gussa', 'bechaini']","gussa 😠, bechaini 😟","{'gussa': 'kyunke koi baar baar tang kar raha tha', 'bechaini': 'kyunke interview cancel hogaya'}"
